OBL a aw
ABS e ew
DAT i iw
ERG o ow
EFF u uw
IND ia äw
AFF ua ëw
INS ö ïw
ACT ü üw
DER ä ÿy
SIT öi øy
POS ai ây
PRP ei êy
GEN ûi uey
ATT oi ôy
OGN ui ûy
PDC äi iey
ITP ëi ioy
APL au âw
PUR eu êw
INH iu îw
CNV ou ôw
MED îu uew
CRS äu iew
PAR ëu iow
CPS öu øw
COR ë ÿw
IDP ÿ üy
PRD üï üïy
ESS â ay
ASI ê ey
FUN î iy
TFM ô oy
REF û uy
CSD ea äy
CLA oa ëy
DFR ø öy
COM îa iay
CNJ ûa uay
UTL öù öuy
BEN äù äuy
TSP aï aïy
CMM eï eïy
ABE iï iïy
CVS oï oïy
CON uï uïy
EXC äï äïy
AVS ëï ëïy
PVS öï öïy
PTL aù auy
SUP eù euy
DEP iù iuy
CMP où ouy
AVR ëù ëuy
LOC aì aiw
ORI eì eiw
PSV ëì ëiw
ALL oì oiw
ABL uì uiw
PLT ià iaw
PEL uà uaw
PRV öì öiw
PRH äì äiw
INT iù iùw
PSN iû uìw
NAV îù iùy
CNR âì aìw
ACS êì eìw
DFF øi eay
PER ôì oìw
PRO ûì uìw
PCV eà eaw
PCR oà oaw
ELP öa iöw
ALP üa üaw
INP âù aùy
EPS êù eùy
PRL øu oay
SML ôù oùy
ASS öà iöy
LIM üà üay
