cnf aff DEL PRX ICP TRM DPL GRD
OPR CSL a â ai au ä ö
OPR ASO u û ui iu ü ë
OPR VAR e ê ei eu ëi ëu
OPR COA i î o ô ae ea
STA CSL wa wâ wai wau wä wö
STA ASO wu ø wui wiu wü wë
STA VAR we wê wei weu wëi wëu
STA COA wi wî wo wô wae wea
MNF CSL ya yâ yai yau yä yö
MNF ASO yu yû yui yiu ÿ yë
MNF VAR ye yê yei yeu yëi yëu
MNF COA yi yø yo yô yae yea
DSP CSL ia äi wia wäi yia yäi
DSP ASO ie öi wie wöi yie yöi
DSP VAR ië äu wië wäu yië yäu
DSP COA io öu wio wöu yio yöu
ATV CSL ua oi wua woi yua yoi
ATV ASO ue ou wue wou yue you
ATV VAR uë ae wuë wae yuë yae
ATV COA uo oa wuo woa yuo yoa
PSN CSL aì eì oì uì ëì öì
PSN ASO waì weì woì wuì wëì wöì
PSN VAR yaì yeì yoì yuì yëì yöì
PSN COA aï eï oï uï ëï iï
ICH CSL aù eù où iù ëù öù
ICH ASO waù weù woù wiù wëù wöù
ICH VAR yaù yeù yoù yiù yëù yöù
ICH COA yaï yeï yoï yuï yëï yiï
