UNI DPX DCT AGG SEG CPN COH CST MLT
p b p' pʰ pf pm pn çp-ţp çp'-ţp'
t d t' tʰ tf tm tn çt-pt çt'-pt'
ķ ǰ ķ' ķʰ ķf ķm ķn çķ-pķ çķ'-pķ'
k g k' kʰ kf km kn çk-ţk çk'-ţk'
q ġ q' qʰ qf qm qn çq çq'
c ƶ c' cʰ cc cm cn çc çtʰ
ċ ż ċ' ċʰ ċċ ċm ċn çċ çkʰ
č j č' čʰ čč čm čn çč çqʰ
f v ff vv bv fm fn fw-fy vw-vy
ţ ḑ ţţ ḑḑ dv ţm ţn ţw-ţy ḑw-ḑy
ç çç y̌ y̌y̌ ǰv çm çn ç' çç'
x ǧ xx ǧǧ gv xm xn x' çx'
x̧ ř x̧x̧ řř ġv x̧m x̧n x̧' çx̧'
s z ss zz sc sc' scʰ sx' sx̧'
ș ẓ șș ẓẓ șċ șċ' șċʰ șx' șx̧'
š ž šš žž sç' șç' šç' šx' šx̧'
m mm mp mb mf bm bn mw-my mł
n nn nt nd nţ dm dn nw-ny nł
l ll hl q̌ ņl ml nl lw-ly łw-ły
ņ ņņ ņk ņg ņx gm gn ņw-ņy ņł
h ḩ hh ḩḩ ḩw hm hn řw-řy hł
r rr hr ł ņr mr nr rw-ry çr
ŗ ŗŗ hŗ łł ņŗ mŗ nŗ ŗw-ŗy çl
ļ ļļ pļ pç q̌q̌ mř nř px tx
ps bz pss bzz pc pc' pcʰ psk pst
pș bẓ pșș bẓẓ pċ pċ' pċʰ pșk pșt
pš bž pšš bžž pč pč' pčʰ pšk pšt
ks gz kss gzz kc kc' kcʰ ksp kst
kș gẓ kșș gẓẓ kċ kċ' kċʰ kșp kșt
kš gž kšš gžž kč kč' kčʰ kšp kšt
pl bl pr br pł bł př bř bw-by
tl dl tr dr tł dł tř dř ġr
kl gl kr gr kł gł kř gř ġl
fl vl fr vr fł vł fř vř pw-py
ţl ḑl ţr ḑr ţł ḑł ţř ḑř çq̌
xl x̧l xr x̧r xł x̧ł ql qr xq̌
sl zl sr zr sł zł sř zř sq̌
șl ẓl șr ẓr șł ẓł șř ẓř șq̌ 
šl žl šr žr šł žł šř žř šq̌
pţ kp kp' çpʰ-kpʰ xp xp' xpʰ gb bḑ
kţ kt kt' çķʰ-ktʰ xt xt' xtʰ gd gḑ
qţ qt qt' x̧p-qtʰ x̧t x̧t' x̧tʰ ġd ġḑ
sp sm sp' spʰ zm ssp ssp' sspʰ zb
șp șm șp' șpʰ ẓm șșp șșp' șșpʰ ẓb
šp šm šp' špʰ žm ššp ššp' ššpʰ žb 
st sn st' stʰ zn sst sst' sstʰ zd
șt șn șt' ștʰ ẓn șșt șșt' șștʰ ẓd
št šn št' štʰ žn ššt ššt' šštʰ žd 
sk sņ sk' skʰ zņ ssk ssk' sskʰ zg
șk șņ șk' șkʰ ẓņ șșk șșk' șșkʰ ẓg
šk šņ šk' škʰ žņ ššk ššk' šškʰ žg
sf sķ sķ' sķʰ ssķ ssķ' ssķʰ ms mz
șf șķ șķ' șķʰ șșķ șșķ' șșķʰ mș mż
šf šķ šķ' šķʰ ššķ ššķ' ššķʰ mš mž
sţ sč sč' sčʰ sx̧ ssq̌ zv ns nz
șţ șč șč' șčʰ șx̧ șșq̌ żv nș nż
šţ šč šč' ščʰ šx̧ ššq̌ žv nš nž
sx sq sq' sqʰ ssq ssq' ssqʰ ņs ņz
șx șq șq' șqʰ șșq șșq' șșqʰ ņș ņż
šx šq šq' šqʰ ššq ššq' ššqʰ ņš ņž
