p pp rp sp lp șp šp mp ssp
p' pp' rp' sp' lp' șp' šp' mp' ssp'
pʰ ppʰ rpʰ spʰ lpʰ șpʰ špʰ mpʰ sspʰ
t tt rt st lt șt št nt sst
t' tt' rt' st' lt' șt' št' nt' sst'
tʰ ttʰ rtʰ stʰ ltʰ ștʰ štʰ ntʰ sstʰ
ķ ķķ rķ sķ lķ șķ šķ nķ ssķ
ķ' ķķ' rķ' sķ' lķ' șķ' šķ' nķ' ssķ'
ķʰ ķķʰ rķʰ sķʰ lķʰ șķʰ šķʰ nķʰ ssķʰ
k kk rk sk lk șk šk ņk ssk
k' kk' rk' sk' lk' șk' šk' ņk' ssk'
kʰ kkʰ rkʰ skʰ lkʰ șkʰ škʰ ņkʰ sskʰ
q qq rq sq lq șq šq ņq ssq
q' qq' rq' sq' lq' șq' šq' ņq' ssq'
qʰ qqʰ rqʰ sqʰ lqʰ șqʰ šqʰ ņqʰ ssqʰ
c cc rc sc lc șc šc sx ssc
c' cc' rc' sc' lc' șc' šc' nc' ssc'
cʰ ccʰ rcʰ scʰ lcʰ șcʰ šcʰ ncʰ sscʰ
č čč rč sč lč șč šč šx ssč
č' čč' rč' sč' lč' șč' šč' nč' ssč'
čʰ ččʰ rčʰ sčʰ lčʰ șčʰ ščʰ nčʰ ssčʰ
s ss rs ks ls ps fs mz hs
ș șș rș kș lș pș fș mᶎ hș
š šš rš kš lš pš fš mž hš
m mm rm ms lm mș mš mt mss
n nn rn ns ln nș nš mt' nss
ņ ņņ rņ ņs lņ ņș ņš mtʰ ņss
l ll rl łs łș łš ļq̌ hq̌ ŗq̌
ļ ļļ rļ ŗļ łļ lļ ļt ļt' ļtʰ
q̌ q̌q̌ rq̌ sq̌ lq̌ șq̌ šq̌ nq̌ ssq̌
b bb rb mb lb řb łb șșp ššp
f ff rf pţ lf ft pt mf sf
v vv rv bv lv mv łv șf šf
d dd rd nd ld řd łd șșt ššt
ţ ţţ rţ nţ lţ sţ ht nţ tf
ḑ ḑḑ rḑ dv lḑ nḑ łḑ șţ šţ
ǰ ǰǰ rǰ nǰ lǰ řǰ łǰ șșķ ššķ
ç çç rç pç lç çt nçç nç șx̧
h hh rh hp lh hķ hk hq sx̧
g gg rg ņg lg řg łg șșk ššk
x xx rx kţ lx xt kt ņx kf 
ǧ ǧǧ rǧ gv lǧ ņǧ łǧ șșq̌ ššq̌ 
ġ ġġ rġ ņġ lġ řġ łġ șșq ššq
x̧ x̧x̧ rx̧ qţ lx̧ x̧t qt ņx̧ qf
ḩ ḩḩ rḩ xp lḩ hc hċ hč šx̧
ċ ċċ rċ sċ lċ șċ šċ șx ssċ
ċ' ċċ' rċ' sċ' lċ' șċ' šċ' nċ' ssċ'
ċʰ ċċʰ rċʰ sċʰ lċʰ șċʰ šʰ' nċʰ ssċʰ
ç' ķç' rç' sç' lç' șç' šç' nç' ssç'
x' kx' rx' sx' lx' șx' šx' ņx' ssx'
x̧' qx̧' rx̧' sx̧' lx̧' șx̧' šx̧' ņx̧' ssx̧'
z zz rz gz lz bz vz nz hss
ᶎ ᶎᶎ rᶎ gᶎ lᶎ bᶎ vᶎ nᶎ hșș
ž žž rž gž lž bž vž nž hšš
ƶ ƶƶ rƶ kss lƶ pss łz ņz hșș
ż żż rż kșș lż pșș łᶎ ņᶎ fșș
j jj rj kšš lj pšš łž ņž fšš
r rr rř rss rșș ršš pt' kt' qt'
ŗ ŗŗ ŗř ŗh ł łł ŗt ŗt' ŗtʰ
ř řř řl řs řș řš ņt ņt' ņtʰ
