ext p aff UNI DPX DCT AGG SEG CPN COH CST MLT
DEL M CSL l ll r h ŧ f ř ks ps
DEL M ASO m mm b hh v vv rr bz gz
DEL M VAR n nn d rn ln rm řř bž gž
DEL M COA ň ňň g rň lň řl rl kš pš
DEL U CSL t nt lt rt ld rd nd hk řt
DEL U ASO k ňk lk rk lg rg ňg ht řk
DEL U VAR p mp lp rp lb rb mb hp řp
DEL U COA ç çç lç rç nç pç mç ňç řç
DEL N CSL s ss ls rs ns fs ňs hs řs
DEL N ASO š šš lš rš nš fš ňš hš řš
DEL N VAR z zz lz rz mz ňz zb zd zg
DEL N COA ž žž lž rž mž ňž žb žd žg
DEL A CSL c cc lc rc ms hc sx řz řc
DEL A ASO č čč lč rč mš hč šx řž řč
DEL A VAR x xx lx rx xs xš kç řň řx
DEL A COA đ đđ lŧ rŧ ŧŧ lf rf ff rđ
PRX M CSL sk ssk lsk rsk msk nsk ňsk řsk řkt
PRX M ASO st sst lst rst mst nst ňst řst řft
PRX M VAR sp ssp lsp rsp msp nsp ňsp řsp řpt
PRX M COA ż żż lż rż nz żb żd żg řż
PRX U CSL šk ššk lšk ršk mšk nšk ňšk řšk řg
PRX U ASO št ššt lšt ršt mšt nšt ňšt řšt řd
PRX U VAR šp ššp lšp ršp mšp nšp ňšp řšp řb
PRX U COA j jj lj rj nž jg jb jd řj
PRX N CSL kf lh lkf rkf ňt ňŧ fň vž řf
PRX N ASO tf rh ltf rtf mt mŧ ţň đň řŧ
PRX N VAR pf lm lpf rpf ňp ňf vň vz řv
PRX N COA xp hw lv řy nm mx fx vx řm
PRX A CSL pt sf lpt rpt pŧ mf ŧp ŧs nđ
PRX A ASO ft šf lft rft fŧ nŧ ŧt đz řđ
PRX A VAR kt sŧ lkt rkt kŧ ňx ŧk xf ňd
PRX A COA xt šŧ px tx xŧ mn ŧx đx řn
ICP M CSL kk ky lky rky ňky kky fk kv kp
ICP M ASO tt ty lty rty nty tty vt tv tk
ICP M VAR pp py lpy rpy mpy ppy fp pv pk
ICP M COA pc lpç kc fc vc lkç sj fj xj
ICP U CSL çk kw lkw rkw ňkw kkw ck čk kpw
ICP U ASO çt tw ltw rtw ntw ttw ct čt tkw
ICP U VAR çp pw lpw rpw mpw ppw cp čp pkw
ICP U COA pč rpç kč fč vč rkç šj pj kj
ICP N CSL gg gw lgw rgw ňgy ggy gv gd gb
ICP N ASO dd dw ldw rdw ndy ddy dv db dg
ICP N VAR bb bw lbw rbw mby bby bv bd bg
ICP N COA my mh çm cm čm lmy rmy cň jm
ICP A CSL gy hg lgy rgy ňgw ggw tg pg vg
ICP A ASO dy hd ldy rdy ndw ddw sc kd vd
ICP A VAR by hb lby rby mbw bbw tp kb vb
ICP A COA ny nh çn cn čn lny rny čň jn
TRM M CSL pl tl kl rpl rtl rkl lpl ltl lkl
TRM M ASO pr tr kr rpr rtr rkr lpr ltr lkr
TRM M VAR př tř kř rpř rtř rkř lpř ltř lkř
TRM M COA sl zl sř rsl rzl rsř lsl lzl lsř
TRM U CSL bl dl gl rbl rdl rgl lbl ldl lgl
TRM U ASO br dr gr rbr rdr rgr lbr ldr lgr
TRM U VAR bř dř gř rbř rdř rgř lbř ldř lgř
TRM U COA šl žl šř ršl ržl ršř lšl lžl lšř
TRM N CSL fl fr fř rfl rfr rfř lfl lfr lfř
TRM N ASO ţl ţr ţř rţl rţr rţř lţl lţr lţř
TRM N VAR xl xr çl rxl rxr çr lxl lxr çř
TRM N COA sr zr zř rsr rzr rzř lsr lzr lzř
TRM A CSL vl vr vř rvl rvr rvř lvl lvr lvř
TRM A ASO đl đr đř rđl rđr rđř lđl lđr lđř
TRM A VAR hl hr çf rhl rhr çv lhl lhr rř
TRM A COA šr žr žř ršr ržr ržř lšr lžr lžř
DPL M CSL ml nl ňl rml rnl rňl lml lnl lňl
DPL M ASO mr nr ňr rmr rnr rňr lmr lnr lňr
DPL M VAR mř nř ňř żm żn żň bj gj vj
DPL M COA mw nw ňw rmw rnw rňw lmw lnw lňw
DPL U CSL sv lsv rsv ksw psw lks rks lps rps
DPL U ASO zv lzv rzv gzw bzw lgz rgz lbz rbz
DPL U VAR šv lšv ršv kšw pšw lkš rkš lpš rpš
DPL U COA žv lžv ržv gžw bžw lgž rgž lbž rbž
DPL N CSL sw sy ssw cw cy lsw rsw lsy rsy
DPL N ASO zw zy ššw żw ży lzw rzw lzy rzy
DPL N VAR šw šy zzw čw čy lšw ršw lšy ršy
DPL N COA žw žy žžw jw jy lžw ržw lžy ržy
DPL A CSL sm sn sň lsm lsn lsň rsm rsn rsň
DPL A ASO zm zn zň lzm lzn lzň rzm rzn rzň
DPL A VAR šm šn šň lšm lšn lšň ršm ršn ršň
DPL A COA žm žn žň lžm lžn lžň ržm ržn ržň
GRA M CSL str stl stw lstr lstl lstw rstr rstl rstw
GRA M ASO skr skl skw lskr lskl lskw rskr rskl rskw
GRA M VAR str stl spw lstr lstl lspw rstr rstl rspw
GRA M COA cr cl żr żl cř żř çc xc sč
GRA U CSL štr štl štw lštr lštl lštw rštr rštl rštw
GRA U ASO škr škl škw lškr lškl lškw rškr rškl rškw
GRA U VAR štr štl špw lštr lštl lšpw rštr rštl ršpw
GRA U COA čr čl jr jl čř jř çč xč šč
GRA N CSL fw fy lfw rfw lfy rfy bf fm fn
GRA N ASO ţw ţy lţw rţw lţy rţy df ţm ţn
