1 2 3
p pt pp
t tk tt
k kt kk
b pk bb
d tp dd
g kp gg
f ft ff
ŧ đg ŧŧ
x xt xx
v fk vv
đ đb đđ
s ç ss
š çç šš
z pç zz
ž kç žž
m çm mm
n çn nn
ň çň ňň
c ck cc
č čk čč
ż żg żż
j jg jj
l çl ll
r çr rr
py ŧp ppy
ty ŧt tty
ky ŧk kky
by db bby
dy bd ddy
gy dg ggy
fy fp ffy
ŧy fŧ ŧŧy
vy bđ vvy
đy gđ đđy
my vm mmy
ny vn nny
ly đm lly
ry đn rry
pf spf spy
tf stf sty
kf skf sky
bv špf špy
dv štf šty
gv škf šky
çp ptl ptr
çt tkl tkr
çk ktl ktr
ř xp řř
pl spl špl
tl stl štl
kl skl škl
bl zbl žbl
dl zdl ždl
gl zgl žgl
fl sfl šfl
ŧl sŧl šŧl
xl skř škř
vl spř špř
đl stř štř
ml fsl fsr
nl ŧkl ftl
sl cl cř
šl čl čř
zl żl żř
žl jl jř
sp zb gzb
st zd gzd
sk zg bzg
šp žb gžb
št žd gžd
šk žg bžg
pŧ pŧl pŧr
pr spr špr
tr str štr
kr skr škr
br zbr žbr
dr zdr ždr
gr zgr žgr
fr sfr šfr
ŧr sŧr šŧr
xr zgř žgř
vr zbř žbř
đr zdř ždř
mr ňl mř
nr ňr nř
sr cr sř
šr čr šř
zr żr zř
žr jr žř
pm fm bm
pn fn bn
km xm gm
kn xn gn
tm ŧm dm
tn ŧn dn
kŧ kŧl kŧr
př fř ftr
tř ŧř ŧkr
kř bg xtr
bř vř ptř
dř đř tkř
gř gd ktř
ps psr psl
pš pšr pšl
ks ksr ksl
kš kšr kšl
bz pst psk
bž pšt pšk
gz kst ksp
gž kšt kšp
sf zv cp
šf žv čp
sŧ zđ ct
šŧ žđ čt
sx xf xtl
šx xŧ xtř
sm zm cm
šm zn čm
sn žm cn
šn žn čn
