0 1 2 3
pt lpt rpt mt
pk lpk rpk mk
ptl ltpl rptl mtl
ptr lptr rptr mtr
ptř lptř rptř mtř
pŧ lpŧ rpŧ mŧ
pŧl lpŧl rpŧl mŧl
pŧr lpŧr rpŧr mŧr
kŧ lkŧ rkŧ ňŧ
kŧl lkŧl rkŧl ňŧl
kŧr lkŧr rkŧr ňŧr
ps lps rps ms
pš lpš rpš mš
ks lks rks ňs
kš lkš rkš ňš
psr lpsr rpsr msr
pšr lpšr rpšr mšr
ksr lksr rksr ňsr
kšr lkšr rkšr ňšr 
psl lpsl rpsl msl 
pšl lpšl rpšl mšl 
ksl lksl rksl ňsl 
kšl lkšl rkšl ňšl 
pst lpst rpst mst 
pšt lpšt rpšt mšt 
kst lkst rkst ňst 
kšt lkšt rkšt ňšt 
psk lpsk rpsk msk 
pšk lpšk rpšk mšk 
ksp lksp rksp ňsp 
kšp lkšp rkšp ňšp 
bz lbz rbz mz 
bž lbž rbž mž 
gz lgz rgz ňz 
gž lgž rgž ňž 
bzg lbzg rbzg mzg 
bžg lbžg rbžg mžg 
gzb lgzb rgzb ňzb 
gžb lgžb rgžb ňžb
gzd lgzd rgzd ňzd 
gžd lgžd rgžd ňžd
pp ppl ppr ppw
tt ttl ttr ttw
kk kkl kkr kkw
bb bbl bbr bbw
dd ddl ddr ddw
gg ggl ggr ggw
ff ffl ffr ffw
ŧŧ ŧŧl ŧŧr ŧŧw
xx xxl xxr xxw
vv vvl vlr vvw
đđ đđl đđr đđw
ss ssl ssr ssw
šš ššl ššr ššw
zz zzl zzr zzw
žž žžl žžr žžw
mm mml mmr mmw
ňň ňňl ňňr ňňw
žž žžl žžr žžw
bg bgl bgr bgw 
gd gdl gdr gdw
ppy lpy rpy mpy
tty lty rty nty
kky lky rky ňky
bby lby rby mby
ddy ldy rdy ndy
ggy lgy rgy ňgy
ffy lfy rfy nfy
ŧŧy lŧy rŧy nŧy
xxy lxy rxy ňxy
vvy lvy rvy nvy
đđy lđy rđy nđy
m lm rm mw
n ln rn nw
ň lň rň ňw
c lc rc cw
č lč rč čw
ż lż rż żw
j lj rj jw
ck lck rck ckw
čk lčk rčk čkw
gż lgż rgż gżw
jg ljg rjg jgw
cp lcp rcp cpw
čp lčp rčp čpw
ct lct rct ctw
čt lčt rčt čtw
vm lvm rvm vmw
vn lvn rvn vnw
đm lđm rđm đmw
đn lđn rđn đnw
pf lpf rpf pfw
bv lbv rbv bvw
dv ldv rdv dvw
gv lgv rgv gvw
r lr hh řs
l rw rl řt
rr ňw hr řš
ll řy hl řth
ry xw xv řç
ly lw rly řd
ř lř řw řk
rry çř řřw řm
lly llw rrw řn
řř řl řřy řh
my pw bw mw
ny tw dw nw
cc pc fc cw
čč pč fč čw
ddz thc bdz dzw
jj thč bj jw
bd lbd rbd md
bdh lbdh rbdh mdh
gdh lgdh rgdh ňdh
db ldb rdb nb
cm lcm rcm smw
dg ldg rdg mg
cl lcl rcl nsw
čl čl čl nšw
dzl ldzl rdzl nzw
jl ljl rjl nžw
cř lcř rcř ssw
čř lčř rčř ššw
dzř ldzř rdzř zzw
jř ljř rjř žžw
cr lcr rcr sw
čr lčr rčr šw
dzr ldzr rdzr zw
jr ljr rjr žw
mmy vw smy zmy
nny dhw sny zny
ml fw psw spw
nl thw ksw stw
mr kw pšw špw
nr gw kšw štw
ňl kc xc ňř
ňr kč xč gj
mř sfw šfw řn
nř skw škw řg
