cas vk vk1
OBL a2 a'w
IND ia2 a'y
ABS e2 e'w
ERG o2 o'w
EFF u2 u'w
AFF ua2 u'y
DAT i2 i'w
INS ö2 ö'w
ACT ü2 ü'w
DER ä2 ä'w
SIT öi2 öi'w
POS ai2 ai'w
PRP ei2 ei'w
GEN eo2 i'y
ATT oi2 oi'w
PDC äi2 äi'w
ITP ëi2 ëi'w
OGN ui2 ui'w
PAR ëu2 ëu'w
CRS äu2 äu'w
CPS öu2 öu'w
PRD öe2 ë'w
MED eö2 ë'y
APL au2 au'w
PUR eu2 eu'w
CSD ea2 e'y
ESS au1 a-u'y
ASI eu1 e-u'y
FUN iu1 i-u'y
TFM ou1 o-u'y
REF ëu1 ëu'y
CLA oa2 o'y
CNV ou2 ou'w
IDP öe1 öe'y
BEN ie2 eu'y
TSP ue2 iu'y
CMM i-u2 ä'y
COM io2 ö'y
CNJ uo2 uo'w
UTL iu2 ü'y
ABE ao2 au'y
CVS ae1 a-e'y
COR ë2 iu'w
DEP ä-i1 ai'y
PVS io1 io'y
PTL ia1 ia'y
DFR ua1 ua'y
CON ao1 ea'w
EXC eo1 eo'y
AVR ö-i1 ö-i'y
CMP ë-i1 ëi'y
SML aö2 oi'y
ASS ö-a1 öi'y
CNR ie1 ie'y
ACS ue1 ue'y
DFF uo1 uo'y
PER oe2 oe'w
PRO oe1 oe'y
PCV ea1 ea'y
PCR oa1 oa'y
ELP öa2 oa'w
ALP üa2 ua'w
INP öa1 öa'y
EPS üo2 io'w
PRL üo1 ie'w
LIM üa1 ia'w
LOC a-i1 a-i'y
ORI e-i1 e-i'y
PSV iö2 iö'w
ALL o-i1 o-i'y
ABL u-i1 u-i'y
NAV uö2 uö'w
CMP1A iai2 a-i'w
CMP2A iei2 e-i'w
CMP3A ioi2 o-i'w
CMP4A i-ui2 i-u'w
CMP5A uai2 a-u'w
CMP6A uei2 e-u'w
CMP7A u-iu2 u-i'w
CMP8A uoi2 o-u'w
CMP1B iai1 üa'y
CMP2B iei1 ei'y
CMP3B ioi1 ao'y
CMP4B iui1 ui'y
CMP5B uai1 üa'w
CMP6B uei1 ue'w
CMP7B uiu1 eo'w
CMP8B uoi1 üo'w
CMP1C iau2 äu'y
CMP2C ieu2 eö'y
CMP3C iou2 ou'y
CMP4C eai2 iö'y
CMP5C oai2 uö'y
CMP6C eau2 ao'w
CMP7C ieu1 a-e'w
CMP8C iou1 eö'w
