ver pha PPS EPI ALG IPU RFU REB THR EXV AXM
PRC CTX l ll mn rl lr nm lř lw ly
PRC PCT t tt lt rt tr tl tř tw ty
PRC ITR k kk lk rk kr kl kř kw ky
PRC REP p pp lp rp pr pl př pw py
PRC ITM r rr ř řl řř řw řy rw ry
PRC RCT f ff lf rf fr fl fř fw fy
PRC FRE ŧ ŧŧ lŧ rŧ ŧr ŧl ŧř ŧw ŧy
PRC FRG x xx lx rx xr xl ňm xw ňn
PRC FLC nt mp ňk nd mb ňg nŧ mf ňx
CPT CTX s ss ls rs sr sl sř sw sy
CPT PCT š šš lš rš šr šl šř šw šy
CPT ITR h hh lh rh hr hl ňh hw řç
CPT REP v vv lv rv vr vl vř vw vy
CPT ITM đ đđ lđ rđ đr đl đř đw đy
CPT RCT ç çç lç rç çr çl çř çw mç
CPT FRE b bb lb rb br bl bř bw by
CPT FRG d dd ld rd dr dl dř dw dy
CPT FLC g gg lg rg gr gl gř gw gy
INE CTX m mm lm rm mr ml mř mw my
INE PCT n nn ln rn nr nl nř nw ny
INE ITR ň ňň lň rň ňr ňl ňř ňw ňç
INE REP z zz lz rz zr zl zř zw zy
INE ITM ž žž lž rž žr žl žř žw žy
INE RCT c cc lc rc cr cl cř cw cy
INE FRE č čč lč rč čr čl čř čw čy
INE FRG ż żż lż rż żl żr żř żw ży
INE FLC j jj lj rj jl jr jř jw jy
INC CTX sk zg sx skl zgl skr zgr skř zgř
INC PCT st zd sŧ stl zdl str zdr stř zdř
INC ITR sp zb sf spl zbl spr zbr spř zbř
INC REP šk žg šx škl žgl škr žgr škř žgř
INC ITM št žd šŧ štl ždl štr ždr štř ždř
INC RCT šp žb šf špl žbl špr žbr špř žbř
INC FRE sm zm šm žm ms mš mz mž mv
INC FRG sn zn šn žn ns nš nz nž nđ
INC FLC sň zň šň žň ňs ňš ňz ňž ňv
PST CTX ks gz çc kc hs ksm ksn ksr ksl
PST PCT kš gž çč kč hš kšm kšn kšr kšl
PST ITR ps bz fs pc vz psm psn psr psl
PST REP pš bž fš pč vž pšm pšn pšr pšl
PST ITM cm cn żm żn sv zv ftl xpl xtl
PST RCT čm čn jm jn šv žv ftr xpr xtr
PST FRE tm tn dm dn ŧm ŧn ht hd hn
PST FRG km kn gm gn xm xn hk hg hň
PST FLC pm pn bm bn fm fn hp hb hm
EFC CTX çt ct čt jt çtl çtr ttw tty nç
EFC PCT çk ck čk jk çkl çkr kkw kky kç
EFC ITR çp cp čp jp çpl çpr ppw ppy pç
EFC REP tp db ŧp tf ŧf tpl tpr ntl nt
EFC ITM kp gb xp kf xf kpl kpr mpl mpr
EFC RCT kt gd xt kŧ xŧ ktl ktr ňkl ňkr
EFC FRE pt bd ft pŧ fŧ ptl ptr ndl ndr
EFC FRG pk bg fk fkl fkr pkl pkr mbl mb
EFC FLC tk dg ŧk ŧkl ŧkr tkl tkr ňgl ňgr
