val pha PPS EPI ALG IPU RFU REB THR EXV AXM
CNF CTX l ŗ ll rl ŗŗ ŗt ŗk ŗn ŗm
CNF PCT r ř rr řř rř lr řl řn řm
CNF ITR m rm mm lm ms mr ml mn mv
CNF REP n rn nn ln ns nr nl nm nḑ
CNF ITM ņ rņ ņņ lņ ņs ņr ņl ņm ņǧ
CNF RCT pt spf șpf špf mz ptr ptl pt' ptʰ
CNF FRE kt ssx șșx ššx nș ktr ktl kt' ktʰ
CNF FRG qt ssx̧ șșx̧ ššx̧ nš qtr qtl qt' qtʰ
CNF FLC xt ssx' șșx' ššx' ņz xtr xtl xt' xtʰ
RPT CTX s rs ss ls hs sr sl sn sm
RPT PCT ș rș șș lș hș șr șl șn șm
RPT ITR š rš šš lš hš šr šl šn šm
RPT REP c rc cc lc hc cr cl cn cm
RPT ITM ċ rċ ċċ lċ hċ ċr ċl ċn ċm 
RPT RCT č rč čč lč hč čr čl čn čm
RPT FRE z rz zz lz nz zr zl zn zm
RPT FRG ᶎ rᶎ ᶎᶎ lᶎ nᶎ ᶎr ᶎl ᶎn ᶎm
RPT FLC ž rž žž lž nž žr žl žn žm
ITU CTX p rp pp lp mp pr pl pm pk
ITU PCT t rt tt lt nt tr tl tn tk
ITU ITR ķ rķ ķķ lķ nķ ķr ķl ķn ķp
ITU REP k rk kk lk ņk kr kl km kp
ITU ITM q rq qq lq ņq qr ql qm qp
ITU RCT ç rç çç lç nç çr çl çn çp
ITU FRE ļ ļt ļļ lļ ļq̌ ļr ļtʰ ļn ļt'
ITU FRG ç' rç' kç' lç' nç' sç' șç' šç' çç'
ITU FLC x' rx' kx' lx' ņx' xn x̧n kn x̧'
INF CTX f rf ff lf mf fr fl fm pf
INF PCT ţ rţ ţţ lţ nţ ţr ţl ţn tţ
INF ITR x rx xx lx ņx xr xl xm xp
INF REP x̧ rx̧ x̧x̧ lx̧ ņx̧ x̧r x̧l x̧m x̧p
INF ITM h rh hh lh ḩc hr hl hm hn
INF RCT ḩ rḩ ḩḩ lḩ ḩč ḩr ḩl ḩm ḩn
INF FRE v rv vv lv bv vr vl vm vn
INF FRG ḑ rḑ ḑḑ lḑ dv ḑr ḑl ḑm ḑn 
INF FLC ǧ rǧ ǧǧ lǧ gv ǧr ǧl ǧm ǧn
PSM CTX b rb bb lb mb br bl bm bd
PSM PCT d rd dd ld nd dr dl dn dg
PSM ITR ǰ rǰ ǰǰ lǰ nǰ ǰr ǰl ǰm ǰn
PSM REP g rg gg lg ņg gr gl gm gd
PSM ITM ġ rġ ġġ lġ ņġ ġr ġl ġm ġd
PSM RCT pţ ft hp hp' hķ fp' fķ çp' çķ
PSM FRE kţ kf hk hk' hķ' fk' fķ' çk' çķ'
PSM FRG qţ qf hq hq' hq̌ fq' fq̌ çq' çq̌
PSM FLC sţ tf ht ht' hc' ft' fc' çt' çc'
